链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210480269,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<欧洲-德国+法国+瑞士+意大利10-12日游>南京汉莎，3至4星，双宫双游船，雪朗峰，新天鹅堡，巴黎自由购物，DFS免税店,￥11842,97%,46,7人,",君士坦丁凯旋门，协和广场，巴黎塞纳河游船，蒙帕纳斯大厦，香榭丽舍大道，罗马斗兽场，威尼斯贡多拉之旅，卢浮宫，凡尔赛宫，凯旋门",江苏广电,9月25日，10月11日,",南京出发| 南京成团| 南京汉莎直飞 南京录指纹 景点全含 3-4星 免费WiFi 特色餐 ",自然遗产可异地按指纹有自由活动
http://www.tuniu.com/tour/210163401,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<美国阿拉斯加北极光-西雅图10日游游>上海直飞/全国联运，连续四晚费尔班克斯观测，托马斯极地自暖巴士舒适追光，赠北极圈探险证书,￥22368,91%,28,6人,",凯瑞公园，派克市场，费尔班克斯，西雅图波音飞机工厂，北极村，珍娜温泉，北方极地博物馆，冰雕博物馆，华盛顿大学，星巴克第一店",众信旅游,11月21日，1月30日，2月4日,",上海出发| 上海成团| 上海出发 赠WIFI 四晚追寻极光 ",null
http://www.tuniu.com/tour/210555843,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲-德国+法国+瑞士+意大利12日游>郑州直飞，全含无自费 ，全程明示酒店，金色山口列车，勃朗峰体验全景缆车，新天鹅堡入内，五渔村，双宫双船,￥13997,96%,54,7人,",五渔村，巴黎塞纳河游船，新天鹅堡，安纳西城堡，圣母百花大教堂，卢浮宫，埃菲尔铁塔，勃朗峰，凡尔赛宫",全景旅游,中秋，国庆，9月9日，9月16日，9月23日，9月30日，10月7日，10月14日，10月21日，10月28日,",郑州出发| 郑州成团| 郑州录指纹 含服务费 无自费 郑州上领队 郑州起止",湖光山色有自由活动无自费
http://www.tuniu.com/tour/210134890,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲英国+爱尔兰10-13日游>重庆出发，全程0自费，大英博物馆，温莎城堡，巨人堤，温德米尔湖区，爱丁堡城堡，丘吉尔庄园,￥19557,96%,33,6人,",彼斯特，伦敦塔桥，湖区国家公园，爱丁堡城堡，首相府，苏格兰高地，城墙，丘吉尔庄园，尼斯湖，泰晤士河",全景旅游,9月26日,",重庆出发| 重庆成团| 大英博物馆 温莎城堡 爱丁堡 大英博物馆 丘吉尔庄园 比斯特购物村 ",null
http://www.tuniu.com/tour/210139240,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥地利+捷克12日游>十大保障，25人VIP小团，往返直飞，升级3晚五星酒店，瓦豪河谷，三大美食盛宴，金牌领队，奥莱，布拉格全天自由活动,￥20646,94%,30,6人,",圣维特大教堂，奥地利国会大厦，捷克克鲁姆洛夫城堡，黄金小巷，圣芭芭拉大教堂，梅尔克修道院，米拉贝尔花园，维也纳音乐厅，美泉宫，百水公寓",优耐德旅游,10月11日，10月14日，10月25日,",北京出发| 北京成团| 精品小团 往返直飞 金牌领队 行程升级 内容丰富 深度之行 ",湖光山色
http://www.tuniu.com/tour/210486302,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德法意瑞奥捷斯7国14日游>深圳出发，东西欧联游，漫步瑞士湖光山色，走进东欧古堡小镇，至美布莱德湖,￥13174,100%,29,7人,",布拉格市政厅，琉森（卢塞恩），布拉格，慕尼黑新市政厅，新天鹅堡，琉森湖，巴黎广场，慕尼黑皇家啤酒屋，维也纳市立公园，维也纳市政厅",翔龙万里行,9月25日,",深圳出发| 深圳成团| 广深出发 东西欧联游 东欧古堡 瑞士小镇 西欧名城 ",湖光山色有自由活动
http://www.tuniu.com/tour/210166178,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲德国-法国+瑞士-意大利10-14日游>重庆出发，双点进出，精华景点全含，双宫含讲解，双游船，欧洲特色小镇，含酒店税服务费,￥11488,93%,87,7人,",叹息桥，协和广场，新天鹅堡，罗马斗兽场，凡尔赛宫，卢克索方尖碑，黄金屋顶，圣马可广场，巴黎歌剧院，君士坦丁凯旋门",全景旅游,中秋，9月14日，9月16日，9月17日，9月24日，10月19日，10月22日，10月29日,",重庆出发| 重庆成团| 含酒店税 含服务费 皮拉图斯山 ",免费WiFi
http://www.tuniu.com/tour/210611165,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[元宵]<英国一地9-11日游>武汉直飞，武汉录指纹，巨石阵，巨人堤，双学府，双古堡，明示酒店，冬季升级，预售开启,￥12515,100%,22,5人,",温德米尔湖，温莎城堡，巨石阵，伦敦眼，剑桥大学城，牛津大学，爱丁堡城堡，莎士比亚故居，约克大教堂",飞途假期,元旦，9月26日，10月24日，11月7日，11月21日，12月5日，12月19日，1月2日，1月16日，1月30日，2月13日，2月27日，3月13日，3月27日,",武汉出发| 武汉成团| 武汉南航 伦敦塔桥 爱丁堡 温德米尔湖区 武汉录指纹 英式下午茶 ",自然遗产
http://www.tuniu.com/tour/210579025,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国-爱尔兰12日游>五星航空/30人团/巨人堤/莫赫悬崖/双学府/温德米尔湖区/比斯特购物村血拼/大英博物馆/圣三一学院,￥11790,100%,19,5人,",宝尔势格庄园，牛津大学图书馆，曼彻斯特大教堂，剑桥剑河，剑桥大学康河，伦敦市政厅，伦敦塔桥，牛津大学，英国议会大厦，曼彻斯特中国城",世界风情,10月12日，10月26日，11月10日，12月10日，1月9日，2月26日,",上海出发| 上海成团| 开启世界之旅 经典名胜 英伦高地文化 ",有自由活动
http://www.tuniu.com/tour/210140464,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+意大利+瑞士深度+德国13日游>30人，2晚巴黎市区五星，1晚达沃斯洲际酒店或温泉酒店，少女峰，金色山口，特色餐，WIFI,￥17122,100%,20,3人,",琉森（卢塞恩），巴黎塞纳河游船，佛罗伦萨市政厅，新天鹅堡，琉森湖，罗马斗兽场，凡尔赛宫，佛罗伦萨市政厅广场，佛罗伦萨市政广场，因斯布鲁克",全景旅游,国庆，9月29日，10月7日，10月27日，11月10日，11月21日，11月28日，12月1日，12月5日,",上海出发| 上海成团| 庄园酒店 达沃斯 新天鹅堡 塞纳河游船 凡尔赛宫 卢浮宫 ",可异地按指纹有自由活动
http://www.tuniu.com/tour/210140759,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-莫斯科+圣彼得堡8-9日游>纯玩0自费0购物，四星酒店，可联运全国出发，Sapsan高铁无夜火车，四宫全入内，金环，免费wifi,￥10180,94%,1273,128人,",夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫",金色俄罗斯,中秋，国庆，9月4日，9月8日，9月10日，9月11日，9月12日，9月17日，9月22日，9月29日，10月1日，10月3日，10月5日，10月6日，10月9日，10月11日，10月18日，10月21日,",上海出发| 上海成团| 莫斯科红场 古姆百货 喀山教堂 滴血教堂 圣瓦西里教堂 彼得保罗要塞 ",有自由活动
http://www.tuniu.com/tour/210472326,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<意大利+希腊11日游>深圳出发，全四星，B行程升级圣岛1晚悬崖酒店，内陆加飞，爱之圣地维罗纳，翡冷翠，The mall,￥15330,93%,47,9人,",叹息桥，罗密欧朱丽叶婚葬地，圣玛利亚广场，圣马可教堂，朱丽叶墓穴，罗马斗兽场，佛罗伦萨市政厅广场，红沙滩，朱丽叶之家，圣马可广场",翔龙万里行,9月25日，9月27日，9月28日,",深圳出发| 深圳成团| 含服务费 两晚圣岛 名品购物村 酒店升级 罗马飞雅典 意大利深度 ",海滨/岛屿有自由活动
http://www.tuniu.com/tour/210166055,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<北欧芬兰一地7-10日游>25人小团，追寻极光欧若拉，雪地摩托、狗拉雪橇，冰雪城堡，圣诞老人村，跨越北极圈，驯鹿肉餐，2人WIFI,￥17890,97%,16,6人,",萨利色尔卡滑雪小镇，西贝柳斯公园，芬兰，岩石教堂，赫尔辛基大教堂，圣诞老人村，北极圈标线，冰雪城堡",翔龙万里行,12月16日，12月23日，12月27日，1月6日，1月16日，1月23日，1月30日，2月1日，2月8日,",上海出发| 上海成团| 猎寻极光 WIFI 雪上活动 冰雪城堡 跨越北极圈 雪地摩托 ",自然遗产免费WiFi
http://www.tuniu.com/tour/210155055,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊双岛8日游>重庆起止，含服务费，拒签无损，悬崖酒店，雅典升级五星，圣岛、米岛自由活动，伊亚观日落，卫城，特色餐，成都/重庆均可以录指纹,￥13348,93%,53,8人,",宙斯神殿，米克诺斯岛，圣托里尼岛，雅典卫城",寰宇旅游,9月17日,",重庆出发| 重庆成团| 地道羊排餐 希式特色餐 伊亚落日 有自由活动 拒签全退 ",海滨/岛屿可异地按指纹有自由活动
http://www.tuniu.com/tour/210133044,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[春节]<北欧芬兰+冰岛11-12日游>20人，寻猎北极光，蓝湖温泉酒店，木屋别墅2晚连住，3大雪上项目，滑雪课程，多顿特色餐，2人WIFI,￥37838,99%,18,4人,",赫尔辛基议会广场，西贝柳斯公园，芬兰，赫尔辛基大教堂，北极圈标线，雷克雅未克大教堂，萨利色尔卡滑雪小镇，冰岛黑沙滩，圣诞老人村，古佛斯瀑布",全景旅游,1月17日，1月24日，1月31日，2月2日，2月7日，2月12日，3月7日，3月14日,",上海出发| 上海成团| 冰岛黄金圈 杰古沙龙湖 蓝冰洞 雪地摩托车 狗拉雪橇 驯鹿庄园 ",湖光山色有自由活动免费WiFi
http://www.tuniu.com/tour/210137055,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国意大利13日游>将爱拍摄地阿卡雄大沙丘，五渔村，法国南部大城小镇，太阳酒庄，铁塔二层法餐，全四星及特色酒店27人团，奥莱,￥20185,95%,42,9人,",交易所广场，叹息桥，协和广场，大卫像，圣马可教堂，罗马斗兽场，米拉波林荫大道，佛罗伦萨市政厅广场，卢克索方尖碑，圣马可广场",领先旅游,9月16日，9月25日，10月21日,",北京出发| 威尼斯成团| 精选四星酒店 27人精致团 赠送无限流量 世界遗产 奥特莱斯 精选西餐",可异地按指纹
http://www.tuniu.com/tour/210147889,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<东欧-德奥斯捷匈10日游>东欧热卖，深圳集中，全四星酒店，布拉格城堡，布达佩斯，美泉宫后花园，C行程渔人堡入内，哈尔施塔特,￥6999,95%,127,18人,",查理大桥，布拉格旧城广场，慕尼黑新市政厅，安德拉什大街，圣玛丽教堂，圣伊什特万圣殿，城堡广场，美泉宫，布拉格城堡",成功之旅,9月17日，9月25日，10月16日，10月22日，10月24日，10月30日，11月6日，11月11日，11月13日，11月18日，11月19日，11月20日，11月27日，11月30日，12月4日，12月9日，12月11日，12月12日，12月16日，12月18日，12月27日，1月6日，1月8日，1月14日，1月15日，1月20日，1月22日，2月10日，2月24日，3月5日，3月10日，3月12日，3月17日，3月22日，3月24日，3月31日,",深圳出发| 深圳成团| 多瑙河三小镇 黄金小巷 萨尔斯堡 渔人堡 马加什教堂 维尔茨堡 ",自然遗产有自由活动
http://www.tuniu.com/tour/210167698,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<土耳其-希腊14日游>唯美地中海，圣托里尼和米克诺斯双岛浪漫回忆，雅典卫城，宿洞穴，伊斯坦可升级佩拉皇宫酒店，山盟海誓直至天荒地老,￥19499,88%,84,20人,",圣托里尼岛，棉花堡，特洛伊古城，多尔玛巴赫切宫，卡马利黑沙滩，圣索菲亚大教堂，托普卡普宫，费拉，大巴扎，精灵烟囱",皇家旅游,国庆，9月14日，10月1日，10月5日，10月22日,",北京出发| 北京成团| 2晚洞穴酒店 圣托里尼岛 充足自由活动 土耳其航空 米克诺斯岛 卫城博...",null
http://www.tuniu.com/tour/210540774,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国-瑞士-意大利-德国11-13日游>南京出发按指纹，3到4星全含，双宫双游船，新天鹅堡，铁力士或少女峰，壁画镇或博登湖，性价比之王,￥10704,100%,26,6人,",领主广场，弗兰基球场，科尔尼利亚，比萨大教堂，费尔塞内格，加尔达湖，道奇宫，巴巴罗别墅，荷黑威格繁华商业街，比萨公墓",全景旅游,9月16日，9月27日，11月12日，11月16日，11月30日，12月13日,",南京出发| 南京成团| 新天鹅堡 壁画小镇 卢浮宫 ",自然遗产有自由活动免费WiFi
http://www.tuniu.com/tour/210155782,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<希腊-意大利南部10-13日游>荷航白班机，蜜月之选，4至5星加圣岛悬崖酒店，特色餐，蘑菇村，马泰拉，圣岛自由，WIFI，可拼房,￥18399,93%,33,11人,",大理石体育场，大卫像，希腊国会大厦，雅典女人街，卢克索方尖碑，道奇宫，阿迪库斯露天剧场，荷黑威格繁华商业街，比萨斜塔，德尔菲",全景旅游,9月27日,",成都出发| 成都成团| 阿尔贝洛贝洛 圣托尼里 半自由行 ",海滨/岛屿
http://www.tuniu.com/tour/210135908,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科+圣彼得堡8日游>金环，四宫全含（冬宫，夏宫花园，叶卡捷琳娜花园琥珀宫，克里姆林宫），彼得保罗要塞，莫斯科红场，含境外服务费,￥7699,95%,790,135人,",彼得保罗要塞，莫斯科国立百货商场，夏宫，察里津诺皇家庄园，红场，青铜骑士，滴血大教堂，克里姆林宫，冬宫，伊萨基耶夫斯基大教堂",金色俄罗斯,10月15日，10月22日，10月29日，11月5日，11月12日，11月19日，11月26日，12月3日，12月10日，12月17日，12月24日，12月31日,",南京出发| 南京成团| 喀山教堂 圣彼得堡深度 彼得堡罗要塞",有自由活动
http://www.tuniu.com/tour/210350566,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<欧洲-西班牙+葡萄牙2国11-14日游>成都直飞，精华全含，全程四星，马德里皇宫，圣家族教堂，罗卡角，奎尔公园，托莱多，科尔多瓦清真寺,￥15286,99%,24,6人,",巴塞罗那西班牙广场，丽池公园，贝伦塔，马德里西班牙广场，托莱多大教堂，马约尔广场，巴特罗之家，兰布拉大街，罗马桥，塞维利亚西班牙广场",新界旅游,9月17日,",成都出发| 成都成团| 西班牙 葡萄牙 2国深度游 ",免费WiFi
http://www.tuniu.com/tour/210138164,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<意大利12日游>小团直飞 wifi 米其林 大红虾评鉴 五星酒店 米兰教堂登顶 乌菲兹美术馆 罗马夜游 蓝洞 庞贝 法拉利高铁,￥38341,100%,25,5人,",叹息桥，蓝洞，贝壳广场，斯卡拉歌剧院，圣马可广场，君士坦丁凯旋门，米兰大教堂，比萨斜塔，圣母百花大教堂，乌菲兹美术馆",加利利旅游,国庆，10月6日，10月20日,",北京出发| 北京成团| 高铁一等舱 国际五星酒店 米其林一星 贡多拉游船 蓝洞入内游船 免费w...",城市观光免费WiFi
http://www.tuniu.com/tour/210137202,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<爱沙尼亚-拉脱维亚-立陶宛-波兰四国11日游>不收服务费，不推自费，四星级酒店，维力奇卡盐矿、维尔纽斯、塔尔图、塔林,￥16554,100%,15,3人,",塔林行政大楼，塔林老城，特拉凯城堡，克拉科夫中央广场，塔林市府广场，里加老城，考纳斯市政厅，维尔纽斯大教堂，华沙圣约翰教堂，里加火药塔",五洲行（欧澳）,10月14日,",北京出发| 北京成团| 一价全含 不收服务费 不推自费 ",湖光山色
http://www.tuniu.com/tour/210133349,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利14日游>济南包机 直飞巴黎 高性价比 新天鹅堡 威尼斯 佛罗伦萨 比萨 米兰 因特拉肯 卢浮宫 济南录指纹,￥6441,91%,73,9人,",叹息桥，佛罗伦萨市政厅，圣马可教堂，新天鹅堡，罗马斗兽场，佛罗伦萨市政厅广场，道奇宫，法兰克福老歌剧院，圣马可广场，古罗马废墟",翔龙万里行,国庆，9月5日，10月3日，10月17日，10月24日，10月31日，11月7日，11月14日，11月21日，11月28日，12月5日，12月12日，12月19日，12月26日,",济南出发| 济南成团| 济南包机 直飞巴黎 特价四国 新天鹅堡 瑞士小镇 比萨斜塔",湖光山色有自由活动
http://www.tuniu.com/tour/210631570,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯贝加尔湖5日游>伊尔库茨克、利斯特维扬卡镇、贝加尔湖、塔里茨民族博物馆、俄式风情园、伊尔库茨克国立大学、130风情街,￥4358,100%,63,3人,",塔里茨博物馆，喀山圣母大教堂，贝加尔湖，列宁广场，130风情区",俄之旅（京）,9月14日，9月28日,",北京出发| 北京成团| 游贝加尔湖畔 夏季碧波荡漾 冬季银装素裹 环湖小火车 直飞 有自由活动...",null
http://www.tuniu.com/tour/210670316,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥德法瑞意11-12日游>广深起止 加游比利时 彩色岛/花岛 巴黎自由活动 B线加游荷兰 A行程塞纳河游船、卢浮宫入内 A线含服务费,￥7816,100%,38,5人,",叹息桥，琉森（卢塞恩），海德堡大学，协和广场，天鹅广场，布鲁塞尔大广场，圣马可教堂，罗马广场，道奇宫，黄金屋顶",众信旅游,国庆，9月11日，9月17日，10月1日，10月26日,",深圳出发| 广东成团| 彩色岛/花岛 西欧多国 湖光山色",null
http://www.tuniu.com/tour/210254665,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯+北欧四国14-16日游>纯玩无购物，四星，五星游轮，高铁，克宫冬宫叶卡夏园，峡湾游船、高山火车、哈姆雷特堡、腓特烈堡，WIFI,￥25952,92%,27,7人,",赫尔辛基议会广场，芬兰，赫尔辛基大教堂，吉菲昂喷泉，奥斯陆，挪威峡湾，挪威国会大厦，奥斯陆国家美术馆，安徒生铜像，奥斯陆市政厅",薄荷假期,10月10日,",上海出发| 上海成团",湖光山色
http://www.tuniu.com/tour/210147704,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+瑞士机票+当地10-12日游>奢享6人小团，市区酒店，巴黎自由活动，金色山口，沃子爵，丽都秀，马特洪峰，2顿特色餐，卢浮宫，塞纳河游船,￥25846,93%,28,15人,",巴黎歌剧院，纳博讷修道院，巴黎塞纳河游船，卓别林像，马特洪峰，苏黎世圣母大教堂，卢浮宫，埃菲尔铁塔，狮子纪念碑，丽都夜总会",寰宇旅游,10月19日，10月26日，11月2日，11月9日，11月16日，11月23日，11月30日，12月7日，12月14日，12月28日,",上海出发| 上海成团| 特色海鲜饭 圣家教堂 马德里皇宫 西班牙奔牛节发源地潘普洛纳",null
http://www.tuniu.com/tour/210606704,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧 芬兰+挪威+瑞典+丹麦12日游>哈当厄尔峡湾，松恩峡湾，维纳恩湖，维尔兰雕塑公园，肉丸餐，部分庄园酒店,￥10713,100%,29,2人,",赫尔辛基议会广场，西贝柳斯公园，芬兰，赫尔辛基大教堂，松恩峡湾，瓦尔德玛斯古堡，奥勒松新艺术中心，戴维德博物馆，维格兰雕塑公园，斯德哥尔摩老城",寰宇旅游,国庆，9月25日，9月26日，10月6日,",北京出发| 北京成团",湖光山色有自由活动
http://www.tuniu.com/tour/210132896,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<希腊+土耳其15日游>全程四到五，2晚真洞穴酒店，1晚温泉酒店，圣托1天自由活动，棉花堡，卡帕多奇亚，德尔菲古城，雅典，梅黛奥拉,￥23599,100%,41,3人,",博斯普鲁斯海峡，圣托里尼岛，雅典女人街，阿瓦诺斯小镇，梅黛奥拉，棉花堡，鸽子谷，圣索菲亚大教堂，卫城博物馆，大巴扎",凯撒旅游,10月19日,",北京出发| 北京成团| 真洞穴酒店 四段加飞 梅黛奥拉 ",海滨/岛屿有自由活动无自费
http://www.tuniu.com/tour/210139958,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国-爱尔兰11-13日游>南京录指纹/全含/大英博物馆/温莎城堡/湖区游船/爱丁堡/巨人堤/健力士黑啤展览馆/宝尔势格庄园/圣三一学院,￥18340,100%,43,2人,",大本钟，大英博物馆，唐宁街十号，温莎城堡，剑桥大学城，伦敦塔桥，威斯敏斯特教堂，湖区国家公园，爱丁堡城堡，莎士比亚故居",江南环游之旅,10月10日，11月11日,",南京出发| 南京成团",湖光山色有自由活动可异地按指纹
http://www.tuniu.com/tour/210222678,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯+金环谢镇8日游>20人小团，全含0自费，内陆加飞，特色度假酒店，18世纪变装舞会，亲手制作套娃，十五大景点入内，贴心酒水,￥17464,100%,55,3人,",阿尔巴特大街，彼得保罗要塞，古姆莫斯科国立百货商场，夏宫，红场，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，冬宫广场",优耐德旅游,国庆，10月2日,",北京出发| 北京成团| 克里姆林宫 莫斯科地铁 卡捷琳娜宫 金环特维尔 夏宫花园 金银环 ",null
http://www.tuniu.com/tour/210134126,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+德国+瑞士+意大利12-13日游>长沙/武汉起止，当地按指纹，南航直飞，皮拉图斯雪山，新天鹅堡，凡尔赛宫，双游船、水上餐厅用餐,￥11481,99%,42,4人,",君士坦丁凯旋门，琉森（卢塞恩），协和广场，巴黎塞纳河游船，古罗马广场，新天鹅堡，罗马斗兽场，埃菲尔铁塔，狮子纪念碑，皮拉图斯山",联合旅游,国庆，9月10日，9月17日，9月19日，10月3日，10月24日，10月29日,",长沙出发| 长沙成团| 本地录指纹 双宫双船 ",null
http://www.tuniu.com/tour/210139413,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国+德国+瑞士+意大利12日游>深圳起止 国泰直飞欧洲 浪漫巴黎 入内卢浮宫 科隆大教堂 新天鹅堡 时尚之都米兰 比利时布鲁塞尔 威尼斯,￥10479,100%,35,4人,",领主广场，琉森（卢塞恩），蒙帕纳斯大厦，圣马可教堂，琉森湖，廊桥水塔，卢克索方尖碑，圣马可广场，古罗马废墟，君士坦丁凯旋门",成功之旅,国庆，9月26日，9月29日，10月1日,",深圳出发| 深圳成团| 国泰直飞 新天鹅堡 慕尼黑 琉森湖 米兰大教堂 ",自然遗产有自由活动
http://www.tuniu.com/tour/210420841,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<俄罗斯莫斯科-圣彼得堡9日游>深圳南航直飞/全国联运/俄式风味餐/红场/冬宫/察里津诺/金环军港小镇/AB线夜卧火车/C线国庆团期,￥6299,100%,23,6人,",胜利广场，夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，莫斯科地铁，列宁山",特色旅游,国庆，9月6日，9月13日，9月27日，10月4日，10月11日，10月25日,",深圳出发| 深圳成团| 滴血大教堂 古姆百货 涅瓦街 彼得堡罗要塞 全国联运 ",null
http://www.tuniu.com/tour/210139166,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥捷匈斯-德法瑞意14-15日游>东西欧连线，全含0自费，纵览八国，天空之城，渔人堡，美泉宫，金山快车，皮拉图斯雪山，双宫，双游船，布拉格,￥16661,96%,39,7人,",新天鹅堡，罗马斗兽场，卢浮宫，狮子纪念碑，凯旋门，罗马Roma",全景旅游,9月7日,",北京出发| 北京成团",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210604467,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[元旦]<英国-爱尔兰12日游>海航直飞，全国联运，爱丁温莎双古堡，巨人堤，巨石阵，牛津，剑桥，大英博物馆，都柏林，温德米尔湖，比斯特，鱼薯餐,￥13965,98%,35,3人,",都柏林之门，巨石阵，西敏寺大教堂，剑桥大学康河，威斯敏斯特宫，伦敦塔桥，曼彻斯特中国城，牛津大学，艾伯特广场，伯明翰市政厅",10月12日，10月26日，11月16日，11月30日，12月21日，12月28日,,",长沙出发| 长沙成团| 牛剑+圣三一 温莎古堡 爱丁堡古堡 比斯特购物村 巨人之路 巨石阵 ",湖光山色
http://www.tuniu.com/tour/210136234,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国-西班牙-葡萄牙12-14日游>英国西班牙特色餐，全程四星加一晚五星酒店，大英博物馆，马德里大皇宫，巴塞罗那自由活动，免费wifi,￥17087,97%,34,5人,",大英博物馆，奎尔公园，阿尔罕布拉宫，温莎城堡，马德里王宫，剑桥大学城，里斯本主教座堂，牛津大学",中旅美腾旅游,9月19日，11月14日,",上海出发| 上海成团| 自由活动 双大学城 温莎城堡 圣家族教堂 马德里大皇宫 罗卡角",null
http://www.tuniu.com/tour/210137828,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利13日游>直飞全含，空中巨无霸A380，双宫含讲解，双游船，皮拉图斯，蒙马特高地，比萨，双天鹅堡，水上餐厅,￥12599,94%,54,7人,",琉森（卢塞恩），叹息桥，协和广场，琉森湖，瑞吉雪山，罗马斗兽场，凡尔赛宫，塞纳河，圣马可广场，古罗马废墟",优耐德旅游,中秋，国庆，9月6日，9月15日，9月22日，10月4日,",北京出发| 北京成团| 南航直飞 双宫双游船 皮拉图斯山 含全程服务费 高性价比 特色美食 ",小团出游(10人左右)
http://www.tuniu.com/tour/210510084,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西葡+摩洛哥17日游>成都直飞马德里，全程四星，特色美食，蓝色之城舍夫沙万、大力神洞、卡萨布兰卡、罗卡角、奎尔公园,￥17117,92%,50,8人,",巴塞罗那大教堂，奎尔公园，航海大发现纪念碑，古城托莱多，贝伦塔，马德里皇宫，罗卡角，巴特罗之家",和邦天下,中秋，国庆，8月31日，9月10日，9月14日，9月24日，9月28日，10月1日，10月5日，10月8日，10月12日，10月15日，10月19日，10月26日，10月29日,",成都出发| 成都成团| 成都起止 西班牙 摩洛哥 ",有自由活动
http://www.tuniu.com/tour/210135132,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<西班牙-葡萄牙11日游>全程四星，升级一晚五星，西班牙特色海鲜饭，葡萄牙蛋挞，欣赏佛拉门戈表演，马德里购物村,￥13457,94%,45,6人,",辛特拉宫，贝伦塔，伯纳乌球场，马约尔广场，巴特罗之家，兰布拉大街，塞维利亚西班牙广场，巴塞罗那大教堂，加泰罗尼亚广场，辛特拉",中旅美腾旅游,11月14日，11月21日，11月28日，12月12日，12月19日,",上海出发| 上海成团| 一晚五星酒店 高迪之城 马德里购物 西班牙海鲜饭 瓦伦西亚 罗卡角 ",有自由活动可异地按指纹
http://www.tuniu.com/tour/210159111,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<希腊+西班牙+葡萄牙12日游>深圳出发，全四星，圣岛升级2晚悬崖酒店， 高迪艺术之城巴塞罗那，雅典卫城，入内参观马德里皇宫，西班牙海鲜饭,￥13618,88%,68,10人,",罗西奥广场，奥林匹亚古遗址，马德里王宫，圣托里尼岛，龙达，罗卡角，帕特农神庙，奥林匹克主会场，发现者纪念碑，奎尔公园",成功之旅,国庆，9月28日，10月1日，10月28日，10月29日，11月5日,",深圳出发| 深圳成团| 悬崖酒店 马德里皇宫 神圣家族教堂 海鲜饭 巴塞罗那 ",有自由活动
